P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
577,0.09079347879071896,10.970529162613698,8.818572414690802,0.15808580481016954,5.0,-3.68,-0.48,0.0,331.17963004112244
681,0.09157391882760993,10.810425958685308,8.687519457941388,0.15819801547598034,5.0,-3.68,-0.31999999999999984,0.0,389.3762414455414
62,0.09232024920831566,10.662423807982638,8.573476563583892,0.15805237942509448,5.0,-3.68,-0.16000000000000014,0.0,382.51518177986145
154,0.09302963976506574,10.498546898292378,8.460520811614941,0.15784675530576753,5.0,-3.68,0.0,0.0,360.8989119529724
262,0.09369873747309736,10.361338859278597,8.354754710783544,0.15765327501575782,5.0,-3.68,0.16000000000000014,0.0,388.2331700325012
343,0.09432455151320301,10.192001256575672,8.25824576809811,0.15713439442088273,5.0,-3.68,0.3200000000000003,0.0,356.60538959503174
433,0.09490454504854984,10.031523359706856,8.155031540397463,0.15682008940388392,5.0,-3.68,0.4800000000000004,0.0,318.2106947898865
516,0.09543595190751793,9.875114191372429,8.0766899183709,0.15602402755938,5.0,-3.68,0.6399999999999997,0.0,309.95479822158813
608,0.095915905031358,9.715531509130473,7.98963382801081,0.15540894038438202,5.0,-3.68,0.7999999999999998,0.0,327.28833770751953
15,0.0963418751317544,9.558513397211474,7.915826661136488,0.15454168468497087,5.0,-3.68,0.96,0.0,311.007719039917
159,0.0967119475334434,9.4092006450622,7.845800066000905,0.15366153688077155,5.0,-3.68,1.12,0.0,442.95598912239075
242,0.09702366000608638,9.24859813150102,7.785427539918755,0.1524947795285693,5.0,-3.68,1.2800000000000002,0.0,313.504784822464
337,0.09727537200713869,9.096760009791474,7.728834647832278,0.15132295818405117,5.0,-3.68,1.4400000000000004,0.0,393.88184237480164
429,0.09746500047965524,8.946562236437384,7.6745384907171665,0.15013127161114137,5.0,-3.68,1.6000000000000005,0.0,314.1976764202118
524,0.0975908584074205,8.80958322175908,7.635196300313893,0.14875263141681191,5.0,-3.68,1.7599999999999998,0.0,354.0399580001831
612,0.09765168238935525,8.654610884940276,7.592566377444648,0.1472729480442868,5.0,-3.68,1.92,0.0,330.1348102092743
9,0.09764613976624031,8.530085801531882,7.561121689179209,0.14592170654249115,5.0,-3.68,2.08,0.0,303.914057970047
137,0.09757317925725746,8.39309812388317,7.535772391380153,0.14426997439862155,5.0,-3.68,2.24,0.0,403.45863127708435
