P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
44,0.04788697892025657,6.405629128612112,5.212045591819346,0.5552964786912673,0.5,-3.68,-1.2799999999999998,0.0,389.736123085022
152,0.049105622347299614,6.405629137291523,4.9585679583506135,0.5636157819933978,0.5,-3.68,-1.12,0.0,451.66460251808167
278,0.05031902627737814,6.4056291347275405,4.718994331828401,0.5716501629196962,0.5,-3.68,-0.96,0.0,502.55047154426575
412,0.05150864631932299,6.405629137057652,4.49397393083153,0.5793376122952536,0.5,-3.68,-0.7999999999999998,0.0,563.0249814987183
587,0.052651188073427474,6.405629136828866,4.295713328799243,0.5846641821337601,0.5,-3.68,-0.6400000000000001,1.0,711.0271515846252
745,0.053719303520248,6.405629135505952,4.118093395050407,0.5888056539860036,0.5,-3.68,-0.48,1.0,611.260858297348
883,0.05468282624348873,6.405629119124633,3.9665092563892443,0.5908889883428603,0.5,-3.68,-0.31999999999999984,0.0,473.61866879463196
72,0.055511503860015236,6.40562912005173,3.851660392802432,0.5890699381381729,0.5,-3.68,-0.16000000000000014,0.0,476.0640037059784
217,0.05617862619228223,6.405629133513521,3.7720483114702805,0.5835889533553558,0.5,-3.68,0.0,1.0,598.1067981719971
330,0.05666485722765209,6.40562913591051,3.726724090288279,0.5746596871208772,0.5,-3.68,0.16000000000000014,0.0,494.0186071395874
440,0.05696095437200672,6.405629132460399,3.7211071826556914,0.561530239473105,0.5,-3.68,0.3200000000000003,0.0,437.5950336456299
534,0.05706827836256623,6.405629118996843,3.743519768215431,0.5462168467643611,0.5,-3.68,0.4800000000000004,0.0,398.8991196155548
635,0.056997281019175935,6.405629126943548,3.7950301224452074,0.5288633472161871,0.5,-3.68,0.6399999999999997,0.0,438.7497453689575
754,0.0567646238802133,6.405629125538724,3.8701317919903104,0.5104386230617708,0.5,-3.68,0.7999999999999998,0.0,422.2327208518982
63,0.05639013209931273,6.405629132047646,3.9633542213316106,0.49186159108949573,0.5,-3.68,0.96,0.0,441.0826988220215
206,0.0558942711340548,6.405629135372051,4.069204647727602,0.4740053493236619,0.5,-3.68,1.12,0.0,587.664312839508
326,0.05529653115513071,6.405629134892472,4.1939879627066965,0.4559433182797503,0.5,-3.68,1.2800000000000002,0.0,525.8674030303955
438,0.05461465969922094,6.405629136254074,4.324510046199954,0.43939803572938374,0.5,-3.68,1.4400000000000004,0.0,440.5743246078491
542,0.05386415600230499,6.405629133047068,4.459981819771306,0.4242524211696597,0.5,-3.68,1.6000000000000005,0.0,438.9472277164459
664,0.053058473930933936,6.405629136659877,4.607682209937224,0.40963291576058647,0.5,-3.68,1.7599999999999998,0.0,476.1857762336731
784,0.052209134732462185,6.405629135585642,4.760204708330978,0.3963316738491982,0.5,-3.68,1.92,0.0,471.7607202529907
55,0.051325869970094445,6.405629121594005,4.916768877422394,0.38430149858052215,0.5,-3.68,2.08,0.0,411.1509585380554
147,0.05041709859910375,6.405629134889637,5.075848456033112,0.37339489339049925,0.5,-3.68,2.24,0.0,414.30543661117554
254,0.04949001428475312,6.405629133631486,5.246961425506324,0.362858895181391,0.5,-3.68,2.4000000000000004,0.0,411.2701413631439
359,0.04855076995165026,6.405629137412287,5.421185152419181,0.3534329936549089,0.5,-3.68,2.5600000000000005,0.0,433.6115257740021
462,0.0476047046550138,6.405629135095406,5.597841098297968,0.3450828938738276,0.5,-3.68,2.7199999999999998,0.0,449.27065563201904
573,0.04665645156599821,6.405629116033108,5.785661610138517,0.33695196522266513,0.5,-3.68,2.88,0.0,450.2061994075775
738,0.045710201039195875,6.405629124062722,5.967002760161408,0.3306738689025285,0.5,-3.68,3.04,1.0,635.639556646347
79,0.04476939020747748,6.405629094081476,6.1679308055911495,0.32372943647947305,0.5,-3.68,3.2,0.0,505.5659189224243
184,0.04383702592372305,6.40562913513536,6.361773500404762,0.31859805628067706,0.5,-3.68,3.3600000000000003,0.0,450.3462698459625
297,0.042915913786154586,6.405629130274902,6.574769025470706,0.3127257569930689,0.5,-3.68,3.5200000000000005,0.0,499.33560490608215
408,0.042008201837780326,6.405629121587747,6.780805210056373,0.30867924954761244,0.5,-3.68,3.6799999999999997,0.0,441.40313386917114
527,0.04111596665918307,6.405629130279142,7.005239835196329,0.30382353646950455,0.5,-3.68,3.84,0.0,485.8162696361542
630,0.040240693543813405,6.405629111893052,7.230505238734181,0.2998985153055745,0.5,-3.68,4.0,0.0,448.7477431297302
794,0.033509070531079474,6.400384400370594,10.192130140677971,0.453263395883294,0.5,-3.52,-4.0,0.0,570.5155231952667
108,0.03423274035073191,6.400384404773273,9.88333011337858,0.4572787755703833,0.5,-3.52,-3.84,1.0,626.8399720191956
336,0.0349857395275036,6.4003844040439235,9.578724657260203,0.46111363234784686,0.5,-3.52,-3.68,2.0,966.0936081409454
472,0.03576955272667405,6.4003844048323,9.26801620583267,0.46600999930258136,0.5,-3.52,-3.52,0.0,568.173791885376
624,0.0365857996035548,6.400384404912361,8.961625475915305,0.4706865583572082,0.5,-3.52,-3.36,0.0,612.1703019142151
777,0.03743600744456947,6.400384387643433,8.650449829807712,0.47639503379680015,0.5,-3.52,-3.2,0.0,582.7429416179657
953,0.03832146146290898,6.400384321988424,8.350648681284195,0.4819880136428787,0.5,-3.52,-3.04,0.0,584.0163331031799
1133,0.03924378597708751,6.4003843747012095,8.042915759197495,0.48697340753062407,0.5,-3.52,-2.88,0.0,551.3936619758606
76,0.0402040632870652,6.400384404779368,7.7394235251013015,0.4931469257395166,0.5,-3.52,-2.7199999999999998,0.0,497.2563362121582
223,0.041203684881429066,6.400384376373141,7.440789430337233,0.4989905660432487,0.5,-3.52,-2.56,0.0,605.5913119316101
343,0.04224336684418852,6.400384404997007,7.141648334269171,0.5057004203504225,0.5,-3.52,-2.4,0.0,507.8248167037964
469,0.043323622304966655,6.400384402740595,6.8493954670604005,0.5121053686471649,0.5,-3.52,-2.24,0.0,540.6282498836517
610,0.044444292918112,6.400384401062537,6.556769658652994,0.5193445814347948,0.5,-3.52,-2.08,0.0,566.8561687469482
766,0.04560441079872892,6.4003844050505645,6.264729879369321,0.5273789872074803,0.5,-3.52,-1.92,0.0,583.8774905204773
917,0.046801838922697236,6.400384403392417,5.982634468266861,0.5350406319778326,0.5,-3.52,-1.7599999999999998,0.0,496.10356879234314
52,0.04803295256777806,6.400384401272557,5.703144366169422,0.5434497628039809,0.5,-3.52,-1.6,0.0,401.2824618816376
149,0.04929206540090373,6.400384378483958,5.427849149935424,0.5525671701472148,0.5,-3.52,-1.44,0.0,427.7762520313263
281,0.05057088811857414,6.400384380057667,5.164721839215424,0.5613038982553725,0.5,-3.52,-1.2799999999999998,0.0,530.2218561172485
401,0.05185777009646038,6.400384394397812,4.913857782344143,0.56959835484963,0.5,-3.52,-1.12,0.0,510.59753704071045
519,0.05313704368827681,6.400384401343148,4.677591436759408,0.5776112140291927,0.5,-3.52,-0.96,0.0,478.5174593925476
677,0.054388366647249366,6.400384403856471,4.455328192311896,0.5852938755202828,0.5,-3.52,-0.7999999999999998,1.0,625.9916927814484
796,0.055586576427946635,6.400384399730926,4.254275586092417,0.5916992244999173,0.5,-3.52,-0.6400000000000001,0.0,429.72139167785645
62,0.056701969470145684,6.400384350015029,4.079776076315602,0.5959425178165512,0.5,-3.52,-0.48,0.0,440.5029504299164
174,0.057702089142867445,6.400384400544002,3.93753666301674,0.597107541593539,0.5,-3.52,-0.31999999999999984,0.0,469.5131924152374
274,0.05855450202973007,6.400384391917203,3.81987394474325,0.5964738817479599,0.5,-3.52,-0.16000000000000014,0.0,421.79291582107544
384,0.059230792660640276,6.400384403304588,3.7429803193370734,0.5911585830976072,0.5,-3.52,0.0,0.0,457.35926604270935
510,0.059710674341336645,6.400384404047461,3.7059283910448446,0.5814841714693939,0.5,-3.52,0.16000000000000014,0.0,535.9136302471161
628,0.05998485364884834,6.400384403997743,3.6968188580922954,0.5695165367471584,0.5,-3.52,0.3200000000000003,0.0,485.3604669570923
773,0.06005556207705134,6.400384399994255,3.7217353627357883,0.5544382955747869,0.5,-3.52,0.4800000000000004,0.0,519.1273593902588
57,0.05993487179505274,6.400384357058792,3.78016711261341,0.5363422115940355,0.5,-3.52,0.6399999999999997,0.0,422.92527318000793
144,0.05964142342282714,6.400384395840023,3.857329687165798,0.5181416332131348,0.5,-3.52,0.7999999999999998,0.0,395.39783239364624
257,0.059197224139933016,6.400384388080786,3.9526957420982436,0.4997682706913298,0.5,-3.52,0.96,0.0,437.70903182029724
361,0.05862480920342306,6.400384395275198,4.060388483671821,0.48206989148227464,0.5,-3.52,1.12,0.0,424.01040172576904
463,0.057945756927280635,6.40038440250506,4.1872957950488665,0.46417479926381466,0.5,-3.52,1.2800000000000002,0.0,451.40182518959045
569,0.05717942176524615,6.400384397948033,4.320366316261868,0.44777038328329116,0.5,-3.52,1.4400000000000004,0.0,426.4523549079895
687,0.056342818902097566,6.400384296330729,4.464966827778211,0.43186746552450855,0.5,-3.52,1.6000000000000005,0.0,446.3672878742218
29,0.05545051282127209,6.400383461521146,4.61774587356299,0.41746871816610853,0.5,-3.52,1.7599999999999998,0.0,357.65325140953064
139,0.0545151641403277,6.400384399207923,4.771347873334642,0.40420828999696257,0.5,-3.52,1.92,0.0,419.5656077861786
264,0.05354731231816464,6.400384382996791,4.93291005869901,0.39225726879555817,0.5,-3.52,2.08,0.0,505.77407574653625
357,0.05255589035161716,6.400384130503517,5.105180682181153,0.3806416293480449,0.5,-3.52,2.24,0.0,384.5229592323303
466,0.05154872045622206,6.4003843980838955,5.272833900717481,0.37104037660696443,0.5,-3.52,2.4000000000000004,0.0,472.5828742980957
